accession_number,date_admitted,patient_id,rescue_location,suburb,postcode,species
76236,2018-01-03,148518,"Palmview area",PALMVIEW,4553,"Eastern Free-tailed Bat"
76201,2018-01-01,148544,"66 George St Moffat Beach","MOFFAT BEACH",4551,"Pale-headed Rosella"
75982,2018-01-01,148550,"2147 Steve Irwin Way",BEERWAH,4519,"Crested Pigeon"
76177,2018-01-01,148556,"17 Neurum Road",YAROOMBA,4573,"Rainbow Bee-Eater"
76186,2018-01-01,148558,"226 Nambour Mapleton Road",NAMBOUR,4560,"brown rat"
76185,2018-01-01,148560,"226 Nambour Mapleton Road",NAMBOUR,4560,"brown rat"
76183,2018-01-01,148562,"50 Alex Road","MOUNT GLORIOUS",4520,"Red-necked Pademelon"
75983,2018-01-01,148564,"2147 Steve Irwin Way",BEERWAH,4519,"Cattle Egret"
76189,2018-01-01,148566,Buderim,BUDERIM,4556,"Tawny Frog Mouth"
76191,2018-01-01,148568,"296 Pikes Road","GLASS HOUSE MOUNTAINS",4518,"Magpie Lark"
75981,2018-01-01,148570,"4/33 Walan St",MOOLOOLABA,4557,"Rainbow Lorikeet"
75984,2018-01-01,148572,"Gympie Camp Ground",GYMPIE,4570,"Tawny Frog Mouth"
76188,2018-01-01,148574,"tanawha ",TANAWHA,4556,"Fig Bird"
76184,2018-01-01,148576,"12 Station Street",DEAGON,4017,"Black Flying Fox"
76199,2018-01-01,148578,"2565 Old Gympie Road",BEERWAH,4519,"Tawny Frog Mouth"
76202,2018-01-01,148580,"9 Wharf Road","BLI BLI",4560,"Spotted Turtle Dove"
76181,2018-01-01,148582,"15 Saleng Cres",WARANA,4575,"Australian Magpie"
76200,2018-01-01,148584,Nambour,NAMBOUR,4560,"Australian Magpie"
76182,2018-01-01,148586,"Steve Irwin Way",BEERWAH,4519,"Eastern Water Dragon"
76198,2018-01-01,148588,"Woorim Beach",WOORIM,4507,"Pied Cormorant"
76197,2018-01-01,148590,"30 Oxford Close","SIPPY DOWNS",4556,"Rainbow Lorikeet"
76196,2018-01-01,148594,"Caboolture Camp Ground",CABOOLTURE,4510,"Grey-Headed Flying Fox"
76195,2018-01-01,148596,Kilcoy,KILCOY,4515,"Black Flying Fox"
76190,2018-01-01,148598,"245 Bartholomew Road",ELIMBA,,"Red Backed Wren"
76194,2018-01-01,148602,"245 Bartholomew Rad",ELIMBAH,4516,"Red Backed Wren"
76192,2018-01-01,148606,"48 Caboolture River Road",MORAYFIELD,4506,"Rainbow Lorikeet"
76193,2018-01-01,148610,"37 Olway Cres","ALEXANDRA HEADLAND",4572,"Laughing Kookaburra"
76215,2018-01-02,148612,Kilcoy,KILCOY,4515,"Laughing Kookaburra"
76223,2018-01-02,148618,"9 Bangalow Close",PALMVIEW,4553,Koala
76217,2018-01-02,148620,"Off Display Otter Exhibit",BEERWAH,4519,"Pink-tongued Skink"
76227,2018-01-02,148622,"Ipswich Boonah Road",PURGA,4306,"Eastern Grey Kangaroo"
76222,2018-01-02,148626,"Springburn Drive","GLASS HOUSE MOUNTAINS",4518,"Squirrel Glider"
75985,2018-01-02,148628,"2 Lawson St","GOLDEN BEACH",4551,"Eastern Forest Bat"
75988,2018-01-02,148630,"17 Bellay Road",BEACHMERE,4510,"Beccari's Free-tailed Bat"
76221,2018-01-02,148634,"3 Mari Street","ALEXANDRA HEADLAND",4572,"Pacific Black Duck"
75986,2018-01-02,148636,"200 Pelican Waters Blvd","PELICAN WATERS",4551,"Sacred Kingfisher"
76216,2018-01-02,148640,"Garden Scape  Oakey Flat Road",MORAYFIELD,4506,"Common Brushtail Possum"
76218,2018-01-02,148642,Kilcoy,KILCOY,4515,"Black Flying Fox"
76219,2018-01-02,148646,"28 Newells Road",BEERWAH,4519,"Plumed Whistling Duck"
76220,2018-01-02,148648,"Dingo Enclosure",BEERWAH,4519,"Eastern Water Dragon"
76224,2018-01-02,148650,"Long Tan Dve / Flowers Rd",CABOOLTURE,4510,"Lewins Honeyeater"
76205,2018-01-02,148652,"Oval Ave",CALOUNDRA,4551,"Ringtail Possum"
76206,2018-01-02,148656,Kilcoy,KILCOY,4515,"Black Flying Fox"
76207,2018-01-02,148658,Kilcoy,KILCOY,4515,"Black Flying Fox"
75987,2018-01-02,148662,"7 Montrose St",BEERWAH,4519,"Beccari's Free-tailed Bat"
76213,2018-01-02,148664,"388 Brandenburg Rd","BALD KNOB",4552,"Blue-tongued Skink"
76214,2018-01-02,148666,"Bella Grace Kindergarten",BEERWAH,4519,"Little Wattlebird"
76208,2018-01-02,148668,"Tunnel Ridge Road",BEERWAH,4519,"Grey Butcher Bird"
76210,2018-01-02,148670,"tanawha vets",TANAWHA,4556,"Ringtail Possum"
76258,2018-01-04,148672,"Burnett St",BUDERIM,4556,"Tawny Frog Mouth"
76249,2018-01-04,148674,"River Heads","HERVEY BAY",4655,"Bearded Dragon"
76247,2018-01-04,148676,"Teddington Rd",TINANA,4650,"Plumed Whistling Duck"
76256,2018-01-04,148678,"Dicky Beach","DICKY BEACH",4551,"Rainbow Lorikeet"
76253,2018-01-04,148682,"118 Narrow Leaf  Rd",ADVANCETOWN,4211,"Common Brushtail Possum"
76243,2018-01-04,148684,"BP Service Centre North Bound",CABOOLTURE,4510,"Gould's Long-eared Bat"
76245,2018-01-04,148686,"Milen Crt",COOLUM,4573,"Rainbow Lorikeet"
76251,2018-01-04,148690,"118 Narrow Leaf  Rd",ADVANCETOWN,4211,"Black Flying Fox"
76252,2018-01-04,148694,"118 Narrow Leaf  Rd",ADVANCETOWN,4211,"Black Flying Fox"
76244,2018-01-04,148696,nambour,NAMBOUR,4560,"Carpet Python"
76242,2018-01-04,148698,"Couty Road",WAMURAN,4512,"Common Brushtail Possum"
76238,2018-01-03,148708,"Poinsetta Ave (Fish n chip shop)",MOOLOOLABA,4557,"Fig Bird"
76239,2018-01-03,148710,"52-56 Shaun Parade",ELIMBA,,Galah
