Species,Taxon
(Blind Snake) Ramphotyphlops sp.,Reptile - Snake - Terrestrial
African Grey Parrot,Avian - Domestic/Feral/Exotic
Agile Wallaby,Marsupial - Macropod
Alexandrine Parrot,Avian - Domestic/Feral/Exotic
Anomalopus Verreauxii,Reptile - Lizard
Antarctic Prion,Avian - Seabird/Pelican
Arctic Jaeger,Avian - Seabird/Pelican
Asian House Gecko,Reptile - Feral
Asian Painted Frog,Amphibian - Feral/Exotic
Australasian Gannet,Avian - Seabird/Pelican
Australasian Grebe,Avian - Waterbird
Australian Brush-turkey,Avian - Other
Australian Bustard,Avian - Raptor
Australian Hobby,Avian - Raptor
Australian Magpie,Avian - Other
Australian Owlet-Nightjar,Avian - Other
Australian Pelican,Avian - Seabird/Pelican
Australian Pipit,Avian - Other
Australian Raven,Avian - Other
Australian White Ibis,Avian - Other
Azure Kingfisher,Avian - Other
Baillon's Crake,Avian - Waterbird
Bandy Bandy,Reptile - Snake - Terrestrial
Bar-shouldered Dove,Avian - Other
Bar-Sided Skink,Reptile - Lizard
Bar-Tailed Godwit,Avian - Other
Barbary Dove,Avian - Domestic/Feral/Exotic
Barking Owl,Avian - Other
Barn Owl,Avian - Other
Barred Cuckoo-Shrike,Avian - Other
Bassian Thrush,Avian - Other
Beach Stone-Curlew,Avian - Other
Bearded Dragon,Reptile - Lizard
Beccari's Free-tailed Bat,Eutherian - Bat - Microbat
Bell Miner,Avian - Other
Black  Bittern,Avian - Other
Black Cormorant,Avian - Waterbird
Black Faced Cuckoo Shrike,Avian - Other
Black Flying Fox,Eutherian - Bat - Flying Fox
Black Noddy,Avian - Seabird/Pelican
Black Rat,Eutherian - Domestic/ Feral
Black Striped Wallaby,Marsupial - Macropod
Black Swan,Avian - Waterbird
Black Turtle,Reptile - Turtle - Marine
Black-Faced Monarch,Avian - Other
Black-Flanked Rock Wallaby,Marsupial - Macropod
Black-headed Python,Reptile - Snake - Terrestrial
Black-Necked Stork,Avian - Other
Black-shouldered Kite,Avian - Raptor
Blue-Breasted Fairy -Wren,Avian - Other
Blue-faced Honeyeater,Avian - Other
Blue-tongued Skink,Reptile - Lizard
Bottlenose Dolphin,Eutherian - Marine mammal
Bourkes Parrot,Avian - Other
Brahminy Kite,Avian - Raptor
Bredli Python,Reptile - Snake - Terrestrial
Bridled Tern,Avian - Seabird/Pelican
Brisbane River Turtle,Reptile - Turtle - Freshwater
Broad Palmed Rocket Frog,Amphibian - Native Frog
Broad-shelled Turtle,Reptile - Turtle - Freshwater
Brolga,Avian - Waterbird
Brown Antechinus,Marsupial - Dasyurid
Brown Booby,Avian - Seabird/Pelican
Brown Cuckoo-Dove,Avian - Other
Brown Falcon,Avian - Raptor
Brown Gerygone,Avian - Other
Brown Goshawk,Avian - Raptor
Brown Honeyeater,Avian - Other
Brown Quail,Avian - Other
Brown Thornbill,Avian - Other
Brown Tree Snake,Reptile - Snake - Terrestrial
Brown Treecreeper,Avian - Other
Brush-Tailed Phascogale,Marsupial - Dasyurid
Budgerigar,Avian - Other
Buff Banded Rail,Avian - Other
Buff-Breasted Paradise-Kingfisher,Avian - Other
Bulwer's Petrel,Avian - Seabird/Pelican
Burns; Dragon,Reptile - Lizard
Burton;s Legless Lizard,Reptile - Lizard
Bush Rat,Eutherian - Rodent
Bush Stone Curlew,Avian - Other
Bush-Hen,Avian - Waterbird
Button Quail,Avian - Other
Cane Toad,Amphibian - Feral/Exotic
Cape Barron Goose,Avian - Waterbird
Carpet Python,Reptile - Snake - Terrestrial
Cascade Treefrog,Amphibian - Native Frog
Caspian Tern,Avian - Seabird/Pelican
Cat,Eutherian - Domestic/ Feral
Cattle Egret,Avian - Other
Central Bearded Dragon,Reptile - Lizard
Channel-billed Cuckoo,Avian - Other
Chestnut-Breasted Mannikin,Avian - Other
Chicken,Avian - Domestic/Feral/Exotic
Chocolate Wattled Bat,Eutherian - Bat - Microbat
Coastal Taipan,Reptile - Snake - Terrestrial
Cockatiel,Avian - Other
Collared Kingfisher,Avian - Other
Collared Sparrow Hawk,Avian - Raptor
Common Bronzewing,Avian - Other
Common Brushtail Possum,Marsupial - Possum/Glider
Common Dunnard,Marsupial - Dasyurid
Common Koel,Avian - Other
Common Noddy,Avian - Seabird/Pelican
Common Planigale,Marsupial - Dasyurid
Common Scaly-foot,Reptile - Lizard
Common Tern,Avian - Seabird/Pelican
Crested Pigeon,Avian - Other
Crested Tern,Avian - Seabird/Pelican
Crimson Rosella,Avian - Other
Cryptoblepharus Virgatus,Reptile - Lizard
Darter,Avian - Waterbird
Diamond Python,Reptile - Snake - Terrestrial
Dingo,Canid
Dog,Eutherian - Domestic/ Feral
Dollarbird,Avian - Other
Domestic Duckling,Avian - Domestic/Feral/Exotic
Double-Barred Finch,Avian - Other
Dubois; Sea Snake,Reptile - Snake - Marine
Dugong,Eutherian - Marine mammal
Dusky Moorhen,Avian - Waterbird
Dusky Woodswallow,Avian - Other
Dwarf Crowned Snake,Reptile - Snake - Terrestrial
Eastern Bent-winged Bat,Eutherian - Bat - Microbat
Eastern Blossom Bat,Eutherian - Bat - Flying Fox
Eastern Broad-nosed Bat,Eutherian - Bat - Microbat
Eastern Brown Snake,Reptile - Snake - Terrestrial
Eastern Cave Bat,Eutherian - Bat - Microbat
Eastern Chestnut Mouse,Eutherian - Rodent
Eastern Curlew,Avian - Other
Eastern Forest Bat,Eutherian - Bat - Microbat
Eastern Free-tailed Bat,Eutherian - Bat - Microbat
Eastern Grey Kangaroo,Marsupial - Macropod
Eastern Horseshoe Bat,Eutherian - Bat - Microbat
Eastern Long-Eared Bat,Eutherian - Bat - Microbat
Eastern Long-necked Turtle,Reptile - Turtle - Freshwater
Eastern Reef Egret,Avian - Other
Eastern Rosella,Avian - Other
Eastern Sedgefrog,Amphibian - Native Frog
Eastern Tubenosed Bat,Eutherian - Bat - Flying Fox
Eastern Water Dragon,Reptile - Lizard
Eastern Water Skink,Reptile - Lizard
Eastern Whipbird,Avian - Other
Eastern Yellow Robin,Avian - Other
Echidna,Monotreme
Eclectus Parrot,Avian - Other
Elegant Seasnake,Reptile - Snake - Marine
Emerald Dove,Avian - Other
Emerald-spotted Treefrog,Amphibian - Native Frog
Emu,Avian - Other
Estuary Stingray,Fish
Eurasian Coot,Avian - Waterbird
Euro,Marsupial - Macropod
European Hare,Eutherian - Domestic/ Feral
European Starling,Avian - Domestic/Feral/Exotic
Fairy Martin,Avian - Other
Fairy Penguin,Avian - Seabird/Pelican
Fairy Prion,Avian - Seabird/Pelican
Fallow Deer,Eutherian - Domestic/ Feral
False Killer Whale,Eutherian - Marine mammal
Fan-tailed Cuckoo,Avian - Other
Feathertail Glider,Marsupial - Possum/Glider
Feral Pigeon,Avian - Domestic/Feral/Exotic
Fig Bird,Avian - Other
Flatback Turtle,Reptile - Turtle - Marine
Flesh-footed Shearwater,Avian - Seabird/Pelican
Fluttering Shearwater,Avian - Seabird/Pelican
Forest Kingfisher,Avian - Other
Fork-Tailed Swift,Avian - Other
Fox,Canid
Freshwater Crocodile,Reptile - Crocodile
Frillneck Lizard,Reptile - Lizard
Galah,Avian - Other
Garden Skink,Reptile - Lizard
Gispland Water Dragon,Reptile - Lizard
Glossy Black-Cockatoo,Avian - Other
Goat,Eutherian - Domestic/ Feral
Golden Pheasant,Avian - Domestic/Feral/Exotic
Golden Tipped Bat,Eutherian - Bat - Microbat
Golden Whistler,Avian - Other
Golden-crowned Snake,Reptile - Snake - Terrestrial
Golden-Headed Cisticola,Avian - Other
Gould's Goanna,Reptile - Lizard
Gould's Long-eared Bat,Eutherian - Bat - Microbat
Gould's Petrel,Avian - Seabird/Pelican
Gould's Wattled Bat,Eutherian - Bat - Microbat
Graceful Tree Frog,Amphibian - Native Frog
Grass Owl,Avian - Other
Grass Skink,Reptile - Lizard
Grassland Melomys,Eutherian - Rodent
Great Barred-Frog,Amphibian - Native Frog
Great Cormorant,Avian - Waterbird
Great Crested Grebe,Avian - Waterbird
Great Egret,Avian - Other
Great Winged Petrel,Avian - Seabird/Pelican
Greater Glider,Marsupial - Possum/Glider
Green Cat Bird,Avian - Other
Green Iguana,Reptile - Feral
Green Sea Turtle,Reptile - Turtle - Marine
Green Tree Frog,Amphibian - Native Frog
Green Tree Snake,Reptile - Snake - Terrestrial
Green-cheeked Conure,Avian - Domestic/Feral/Exotic
Grey Butcher Bird,Avian - Other
Grey Crowned Babbler,Avian - Other
Grey Fantail,Avian - Other
Grey Goshawk,Avian - Raptor
Grey Shrike-Thrush,Avian - Other
Grey Teal,Avian - Waterbird
Grey-Headed Flying Fox,Eutherian - Bat - Flying Fox
Guinea Fowl,Avian - Domestic/Feral/Exotic
Gull-Billed Tern,Avian - Seabird/Pelican
Hardhead,Avian - Waterbird
Hare,Eutherian - Domestic/ Feral
Hawksbill Turtle,Reptile - Turtle - Marine
Hermann's Tortoise,Reptile - Feral
Hoary Wattled Bat,Eutherian - Bat - Microbat
Hoary-Headed Grebe,Avian - Waterbird
Horned Sea Snake,Reptile - Snake - Marine
Horse,Eutherian - Domestic/ Feral
House Mouse,Eutherian - Domestic/ Feral
House Sparrow,Avian - Domestic/Feral/Exotic
Humpback Whale,Eutherian - Marine mammal
Hutton's Shearwater,Avian - Seabird/Pelican
Hybrid,Canid
Indian Miner,Avian - Domestic/Feral/Exotic
Indian Ringneck,Avian - Domestic/Feral/Exotic
Indopacific Humpback Dolphin,Eutherian - Marine mammal
Intermediate Egret,Avian - Other
Irwins Turtle,Reptile - Turtle - Freshwater
Kakariki,Avian - Domestic/Feral/Exotic
Keelback,Reptile - Snake - Terrestrial
King Brown,Reptile - Snake - Terrestrial
King Parrot,Avian - Other
King Quail,Avian - Other
Koala,Marsupial - Koala
Krefft's Turtle,Reptile - Turtle - Freshwater
Lace Monitor,Reptile - Lizard
Land Mullet,Reptile - Lizard
Large Forest Bat,Eutherian - Bat - Microbat
Large-Billed Scrubwren,Avian - Other
Large-Footed Myotis,Eutherian - Bat - Microbat
Lathams Snipe,Avian - Other
Laughing Kookaburra,Avian - Other
Laughing Treefrog,Amphibian - Native Frog
Leaftailed Gecko,Reptile - Lizard
Lesser Frigatebird,Avian - Seabird/Pelican
Lesser Long-Eared Bat,Eutherian - Bat - Microbat
Lewins Honeyeater,Avian - Other
Lewins Rail,Avian - Other
Light-Mantled Sooty Albatross,Avian - Seabird/Pelican
Little Bentwing Bat,Eutherian - Bat - Microbat
Little Black Cormorant,Avian - Waterbird
Little Broad-nosed Bat,Eutherian - Bat - Microbat
Little Corella,Avian - Other
Little Eagle,Avian - Raptor
Little Egret,Avian - Other
Little Forest Bat,Eutherian - Bat - Microbat
Little Friarbird,Avian - Other
Little Pied Cormorant,Avian - Waterbird
Little Red Flying Fox,Eutherian - Bat - Flying Fox
Little Shearwater,Avian - Seabird/Pelican
Little Shrike-thrush,Avian - Other
Little Tern,Avian - Seabird/Pelican
Little Wattlebird,Avian - Other
Loggerhead Turtle,Reptile - Turtle - Marine
Long Nosed Bandicoot,Marsupial - Bandicoot
Long-billed Corella,Avian - Other
Long-nosed Potoroo,Marsupial - Macropod
